,ga_time,ga_reward,aco_time,aco_reward,pso_time,pso_reward,bite_time,bite_reward
55,29.717383861541748,243,64.1273820400238,208,81.60852527618408,202,29.409337043762207,296
56,21.522121906280518,245,63.72237539291382,211,82.31195259094238,202,28.882336378097534,300
57,32.61557102203369,249,63.78488039970398,208,82.01233720779419,202,29.25550675392151,302
58,22.9727041721344,255,63.663963079452515,209,82.36086463928223,202,28.875745058059692,299
59,48.28070592880249,261,64.33420276641846,207,81.55365037918091,202,29.19685649871826,302
60,43.29162096977234,258,62.76683974266052,209,82.21502590179443,205,29.084157943725586,311
61,29.321818828582764,248,62.12284970283508,205,82.41840028762817,205,29.33246350288391,309
62,27.739302396774292,243,62.701003074645996,207,82.61965274810791,205,29.063438892364502,306
63,29.218933582305908,249,62.617438077926636,203,82.0641541481018,205,29.315421104431152,312
64,32.60978889465332,264,62.36361384391785,208,82.00019240379333,205,29.24559712409973,311
65,34.17574763298035,255,62.185893058776855,203,81.44330787658691,205,29.16844654083252,315
66,24.29803991317749,244,62.591533184051514,206,82.18129324913025,205,29.09286379814148,309
67,23.76007628440857,248,62.242247581481934,207,82.59674668312073,205,29.00449228286743,306
68,38.358495235443115,256,62.353212118148804,206,82.0114974975586,205,29.354259967803955,309
69,37.22429895401001,258,62.173805713653564,206,81.45268988609314,205,29.408140659332275,305
70,28.20314860343933,207,60.46202898025513,170,82.10163497924805,169,29.307619333267212,266
71,23.619176149368286,211,59.98266410827637,169,80.907066822052,169,29.243436336517334,259
72,36.001323223114014,229,60.68948006629944,169,81.48334813117981,169,29.12345266342163,260
73,31.28137183189392,223,60.054893493652344,170,81.8924560546875,169,29.523956298828125,264
74,22.327825784683228,224,60.16882538795471,171,81.35196137428284,169,28.467453241348267,260
75,39.035547494888306,225,60.157331705093384,177,81.7723982334137,169,29.495834589004517,269
76,35.383747816085815,215,59.98184847831726,167,81.7064106464386,169,29.34000563621521,272
77,33.63455820083618,215,60.02451992034912,176,82.54227805137634,169,29.069194078445435,266
78,24.50531506538391,220,60.17150330543518,168,81.70611810684204,169,29.361322164535522,264
79,39.96393418312073,227,59.90320682525635,169,81.36093974113464,169,29.21069884300232,268
80,50.4032940864563,236,59.56770968437195,172,81.81258583068848,174,29.290762901306152,272
81,29.66883111000061,220,59.63943409919739,168,82.44002437591553,174,29.269732236862183,268
82,25.665076971054077,230,60.22923493385315,171,81.61386442184448,174,29.245888710021973,273
83,31.599481344223022,213,60.30278038978577,171,81.57805895805359,174,29.565797328948975,268
84,29.990708112716675,223,59.970449686050415,171,81.57862257957458,174,29.16810917854309,273
85,27.942575216293335,226,59.5469970703125,170,82.1072587966919,174,29.142831325531006,277
86,36.42681288719177,228,59.66601061820984,171,82.35590839385986,174,29.203930139541626,265
87,29.250609636306763,225,59.692939043045044,170,82.28388738632202,174,29.229220628738403,272
88,41.63569188117981,234,59.50887608528137,171,82.21378064155579,174,29.336596250534058,264
89,43.85070991516113,232,59.80209565162659,172,82.26091623306274,174,29.19127058982849,274
90,51.935444593429565,236,61.593982458114624,181,81.67290186882019,178,29.253650188446045,264
91,23.91092348098755,211,61.92419362068176,179,81.28316950798035,178,29.405341148376465,264
92,30.484872579574585,229,61.400248527526855,180,81.86390161514282,178,29.07695174217224,269
93,22.623960494995117,216,61.47345042228699,183,81.13508987426758,178,29.181873321533203,271
94,46.17286252975464,224,61.89266276359558,182,81.63308429718018,178,29.431729793548584,269
95,23.05718970298767,213,61.92725443840027,180,82.01411032676697,178,28.821911096572876,260
96,28.861876249313354,214,61.2393684387207,182,82.80480980873108,178,29.47109580039978,261
97,40.11302304267883,231,62.09682369232178,183,81.6739490032196,178,29.366578102111816,264
98,24.308385610580444,207,62.13853216171265,182,81.74418663978577,178,29.216816425323486,264
99,31.698274850845337,237,61.46804332733154,182,82.20024466514587,178,29.13370680809021,262
